p_lo,p_hi,theta_lo,theta_hi,threshold,n_label,eff_K,C_pi,C_p,n_accepted
0.5,1.4,15.0,25.0,0.48000000000000004,418763,0.9428457564797618,0.09164668468063836,0.009370158553659752,294979
0.5,1.4,15.0,25.0,0.49,418763,0.9419960749223631,0.09072301880219051,0.009242049968230453,294307
0.5,1.4,15.0,25.0,0.5,418763,0.9411839898940529,0.08977929680398503,0.00911710214423889,293624
0.5,1.4,15.0,25.0,0.51,418763,0.940270394237204,0.08880751994753525,0.008992461899819741,292912
0.5,1.4,15.0,25.0,0.52,418763,0.9392816055221782,0.08795140257881748,0.008869665197514304,292232
0.5,1.4,15.0,25.0,0.53,418763,0.9383792888240557,0.08703110997311483,0.008753155526286907,291552
0.5,1.4,15.0,25.0,0.54,418763,0.9373491439270326,0.08612126254980518,0.008640578743419853,290837
0.5,1.4,15.0,25.0,0.55,418763,0.9363340376416449,0.08507527387346348,0.008559619143486519,290083
0.5,1.4,15.0,25.0,0.56,418763,0.9352926137858952,0.0841751461514674,0.008489979267449895,289400
0.5,1.4,15.0,25.0,0.5700000000000001,418763,0.9342812671534164,0.08320451568869787,0.00835553276913857,288671
0.5,1.4,15.0,25.0,0.5800000000000001,418763,0.9332586415622109,0.08228830853864127,0.008267877853476954,287982
0.5,1.4,15.0,25.0,0.59,418763,0.9321345053424668,0.08127427148489609,0.008216125887759365,287240
0.5,1.4,15.0,25.0,0.6,418763,0.9310667639163552,0.08033645276292335,0.00813842298860202,286542
0.5,1.4,15.0,25.0,0.61,418763,0.9298674346384341,0.07936035258032816,0.008054950015221126,285787
0.5,1.4,15.0,25.0,0.62,418763,0.9287545773774165,0.07833166061628119,0.00794360879831865,285009
0.5,1.4,15.0,25.0,0.63,418763,0.927543969140769,0.07740577168307723,0.007873877233658538,284231
0.5,1.4,15.0,25.0,0.64,418763,0.9263258415983037,0.07642077721508549,0.007776033305696191,283435
0.5,1.4,15.0,25.0,0.65,418763,0.9250062034272996,0.07538661004528457,0.007692253257000517,282622
0.5,1.4,15.0,25.0,0.66,418763,0.9235775353219391,0.07449477824494778,0.007562422814314307,281788
0.5,1.4,15.0,25.0,0.67,418763,0.9222428585392997,0.07348653099457614,0.007445899772209567,280960
0.5,1.4,15.0,25.0,0.68,418763,0.9207878728635772,0.07223247127634186,0.007348504054531756,280057
0.5,1.4,15.0,25.0,0.6900000000000001,418763,0.9192388958651337,0.07109424270745478,0.00725803273637865,279139
0.5,1.4,15.0,25.0,0.7000000000000001,418763,0.9175921678910604,0.0700023624987616,0.007171125704980967,278199
0.5,1.4,15.0,25.0,0.7100000000000001,418763,0.9157800151889978,0.0689191203733788,0.0071242028107234585,277224
0.5,1.4,15.0,25.0,0.72,418763,0.9129790737719093,0.06748588763872355,0.00699615193509428,275723
0.5,1.4,15.0,25.0,0.73,418763,0.911020294606402,0.0662019160365943,0.006939716221677693,274651
0.5,1.4,15.0,25.0,0.74,418763,0.9088509748779993,0.06502417327402824,0.006810977995020637,273529
0.5,1.4,15.0,25.0,0.75,418763,0.9067493289019558,0.0636952318837204,0.006670680578296975,272386
0.5,1.4,15.0,25.0,0.76,418763,0.9043281124286606,0.06238793170655648,0.006571426464189045,271174
0.5,1.4,15.0,25.0,0.77,418763,0.9016963553924702,0.061083315716533956,0.006466267944356745,269862
0.5,1.4,15.0,25.0,0.78,418763,0.8991134738440947,0.059601659424706556,0.006401424028242233,268534
0.5,1.4,15.0,25.0,0.79,418763,0.8963426096502771,0.05818519396381449,0.006318098282360603,267169
0.5,1.4,15.0,25.0,0.8,418763,0.893368724199382,0.0568539040421681,0.006197134342735017,265768
0.5,1.4,15.0,25.0,0.81,418763,0.8900414313750554,0.05544029046802059,0.006115583005037031,264243
0.5,1.4,15.0,25.0,0.8200000000000001,418763,0.8863757697889331,0.05400471071627765,0.006012924550934688,262601
0.5,1.4,15.0,25.0,0.8300000000000001,418763,0.8821574392252107,0.05249598203829784,0.005837411595047789,260732
0.5,1.4,15.0,25.0,0.8400000000000001,418763,0.8777586453218639,0.050672955719107064,0.005704700580518989,258734
0.5,1.4,15.0,25.0,0.85,418763,0.8724688136791211,0.04870420017873101,0.005576461871429407,256435
0.5,1.4,15.0,25.0,0.86,418763,0.8664533690249716,0.04658657466014678,0.005424591481382266,253844
0.5,1.4,15.0,25.0,0.87,418763,0.8587573595205691,0.04423690090632924,0.005204262310772225,250756
0.5,1.4,15.0,25.0,0.88,418763,0.8499409734493312,0.04163381237017254,0.005003984579475168,247203
0.5,1.4,15.0,25.0,0.89,418763,0.8383875600604552,0.03841659300144456,0.004773554753785071,242796
0.5,1.4,15.0,25.0,0.9,418763,0.8224503913798679,0.03481610250255904,0.004529203442701145,236907
