p_lo,p_hi,theta_lo,theta_hi,threshold,n_label,eff_K,C_pi,C_p,n_accepted
0.5,1.4,5.0,15.0,0.66,233799,0.926038356015538,0.0821026131208013,0.008181338151373842,157187
0.5,1.4,5.0,15.0,0.67,233799,0.9248567082280716,0.0812887470739424,0.008144184593013986,156799
0.5,1.4,5.0,15.0,0.68,233799,0.9236886425990819,0.08040809151634801,0.008113551357053803,156405
0.5,1.4,5.0,15.0,0.6900000000000001,233799,0.9222760981175129,0.07932451121295116,0.008029964852869494,155916
0.5,1.4,5.0,15.0,0.7000000000000001,233799,0.920911091190612,0.07825637749033096,0.007945392315808436,155436
0.5,1.4,5.0,15.0,0.7100000000000001,233799,0.9193151875696086,0.07737657097679998,0.0078669015766071,154953
0.5,1.4,5.0,15.0,0.72,233799,0.9180384646728058,0.07628444723841281,0.00779298113891442,154498
0.5,1.4,5.0,15.0,0.73,233799,0.9161369624860782,0.07513900029479717,0.007692957435334325,153907
0.5,1.4,5.0,15.0,0.74,233799,0.9140996387145846,0.07397699441371529,0.007580551514479375,153287
0.5,1.4,5.0,15.0,0.75,233799,0.9118789558036563,0.07251942669659817,0.007540291383086143,152514
0.5,1.4,5.0,15.0,0.76,233799,0.9097940944774944,0.07120127011418548,0.007442632452512053,151828
0.5,1.4,5.0,15.0,0.77,233799,0.9070097519897862,0.06965777136926281,0.007344314453319192,150865
0.5,1.4,5.0,15.0,0.78,233799,0.9042593648982696,0.06813632864441178,0.007268681377251892,150096
0.5,1.4,5.0,15.0,0.79,233799,0.9015565153614212,0.06645289228302603,0.0071590254617537935,149322
0.5,1.4,5.0,15.0,0.8,233799,0.8984326189117975,0.06486089120108572,0.007064781826875804,148483
0.5,1.4,5.0,15.0,0.81,233799,0.8953426778583653,0.06313687591489846,0.006996938416104473,147636
0.5,1.4,5.0,15.0,0.8200000000000001,233799,0.8917501969412979,0.0614001229432031,0.006911594301683593,146710
