variable,p_lo,p_hi,theta_lo,theta_hi,n_mc,n_data,hit_frac_mc,hit_frac_data,n_total_mc_cell,n_total_data_cell,n_hit_mc_cell,n_hit_data_cell,hit_frac_mc_cell,hit_frac_data_cell,hit_frac_delta,ks_distance,ks_pvalue,chi2,ndof,chi2_per_ndof,chi2_pvalue,mean_rel_diff,max_abs_rel_diff,ks_flag,wasserstein,wasserstein_norm,psi,max_local_residual,drift_decision,status
pcal_time,2,3,5,15,10340,10972,0.835328,0.773266,10927,12503,10340,10972,0.94628,0.877549,-0.0687305,0.175113,3.13361e-143,3373.62,44,76.6731,0,2.61872,16.4401,True,5.30417,3.7525,0.659593,10.3088,DROP,ok
pcal_time,2,3,15,25,8907,12042,0.835328,0.773266,9727,13713,8907,12042,0.915699,0.878145,-0.0375537,0.174367,1.30602e-136,2964.99,49,60.51,0,2.64326,29.4683,True,5.52511,4.02454,0.523981,6.2441,DROP,ok
pcal_time,2,3,25,35,922,1531,0.835328,0.773266,1166,2124,922,1531,0.790738,0.72081,-0.0699278,0.1542,2.06786e-12,332.849,46,7.23584,3.98062e-45,1.0007,5.69049,True,4.09949,2.96966,0.473605,5.80509,DROP,ok
pcal_time,3,5,5,15,15329,13325,0.835328,0.773266,15732,14867,15329,13325,0.974383,0.89628,-0.0781031,0.219225,2.70407e-301,5688.1,49,116.084,0,6.43485,49.1862,True,5.22645,3.9179,0.903245,16.1664,DROP,ok
pcal_time,3,5,15,25,4904,6551,0.835328,0.773266,5114,7182,4904,6551,0.958936,0.912141,-0.0467948,0.192328,3.63654e-91,2321.03,49,47.3679,0,4.89932,55.0345,True,5.38046,4.17222,0.845109,14.1381,DROP,ok
pcal_time,3,5,25,35,57,128,0.835328,0.773266,59,139,57,128,0.966102,0.920863,-0.0452384,0.259868,0.00768369,67.8103,24,2.82543,4.66889e-06,0.790166,3.80159,True,4.85118,3.19428,2.32984,70312.5,DROP,ok
pcal_path,1,2,5,15,8617,8393,0.835328,0.773266,9585,9952,8617,8393,0.899009,0.843348,-0.0556608,0.0306872,0.000646326,66.8182,49,1.36364,0.046052,0.146834,0.630192,False,0.551908,0.0651972,0.0099855,0.239956,CANDIDATE,ok
pcal_path,1,2,15,25,12251,13350,0.835328,0.773266,13926,15954,12251,13350,0.879721,0.836781,-0.0429406,0.022305,0.00341891,71.1294,49,1.45162,0.0210809,0.100546,0.373502,False,0.296176,0.0393886,0.00816266,0.194962,KEEP,ok
pcal_path,1,2,25,35,2443,2860,0.835328,0.773266,5336,7162,2443,2860,0.457834,0.39933,-0.0585038,0.0249149,0.378549,44.0757,49,0.899503,0.67262,0.174479,0.508285,False,0.364619,0.0347217,0.020163,0.303772,CANDIDATE,ok
pcal_path,2,3,5,15,10340,10972,0.835328,0.773266,10927,12503,10340,10972,0.94628,0.877549,-0.0687305,0.0403102,5.94507e-08,114.889,49,2.34467,3.27071e-07,0.170787,1.01749,False,0.367255,0.0611675,0.0183813,0.588073,CANDIDATE,ok
pcal_path,2,3,15,25,8907,12042,0.835328,0.773266,9727,13713,8907,12042,0.915699,0.878145,-0.0375537,0.0357897,3.91629e-06,114.296,49,2.33258,3.90809e-07,0.171119,1.00863,False,0.299689,0.0538694,0.0155005,0.507194,CANDIDATE,ok
pcal_path,2,3,25,35,922,1531,0.835328,0.773266,1166,2124,922,1531,0.790738,0.72081,-0.0699278,0.0341418,0.499719,52.6358,49,1.0742,0.335213,0.378302,2.25073,False,0.347054,0.0398833,0.0252943,0.399756,CANDIDATE,ok
pcal_path,3,5,5,15,15329,13325,0.835328,0.773266,15732,14867,15329,13325,0.974383,0.89628,-0.0781031,0.0185719,0.0144574,88.7952,49,1.81215,0.00043531,0.116095,0.456793,False,0.166478,0.0248814,0.00727157,0.259715,KEEP,ok
pcal_path,3,5,15,25,4904,6551,0.835328,0.773266,5114,7182,4904,6551,0.958936,0.912141,-0.0467948,0.034039,0.00292038,63.2442,49,1.2907,0.0830129,0.161186,0.831892,False,0.239415,0.0460685,0.0127127,0.364421,CANDIDATE,ok
pcal_path,3,5,25,35,57,128,0.835328,0.773266,59,139,57,128,0.966102,0.920863,-0.0452384,0.187911,0.10656,66.6589,47,1.41827,0.0310652,0.581935,1.24,True,1.12561,0.156161,1.4714,78125,DROP,ok
